Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
31057 Patos de Minas,"1.243,63","1.185,88","1.297,29","1.153,36","1.543,12","1.314,08","1.394,87","1.541,14","1.792,75","1.371,00","1.446,49","1.300,03","1.379,92","1.700,32","1.341,06","1.607,09","1.541,68","1.498,29","1.690,99","1.396,95","1.544,69","1.570,61","1.640,35","1.423,28","1.689,66","1.725,97","1.700,89","1.746,38","1.732,85","1.577,53","1.409,97","1.755,00","1.639,80","1.760,73","1.793,14","1.475,07","2.160,04","1.695,01","1.769,47","1.782,51","1.681,67","1.678,87","1.581,98","1.486,07","1.675,59","1.644,66","1.762,56","1.721,58","1.833,46","1.780,91","1.580,31","1.669,11","1.617,31","1.536,23","1.694,19","1.675,44","1.595,75","1.779,10","1.528,24","1.809,40","1.557,31","1.865,36","1.798,26","1.971,49","1.791,39","1.653,71","1.899,85","1.869,98","1.810,05","1.709,66","1.799,39","1.858,00","1.813,51","1.846,73","1.777,97","1.745,23","1.625,19","1.707,82","1.850,26","1.634,19","1.618,91","1.688,91","1.585,28","1.660,37","2.025,88","2.046,90","1.575,85","1.619,63","1.700,08","1.746,01","1.587,08","1.677,04","1.644,25","1.793,84","1.870,77","1.642,97","1.621,77","1.540,98","1.611,30","1.561,98","1.459,89","1.447,43","1.237,29","1.437,52","1.459,52","1.396,97","1.408,24","1.469,79","1.573,64","1.323,38","1.387,37","1.202,32","1.539,55","1.176,09","1.384,84","1.337,33","1.270,06","1.410,35","1.184,93","1.425,80","1.392,69","1.320,85","1.363,07","1.407,44","1.460,44","1.685,58","2.245,97","2.038,35","1.635,14","1.460,82","1.523,23","1.441,64","1.524,06","1.476,91","1.730,44","1.889,79","2.159,34","2.199,95","1.807,51","2.114,12","1.430,21","1.339,55","1.112,12","1.154,06","1.307,46","1.610,11","1.213,81","1.307,02","1.327,48","1.140,13","1.217,36","1.459,39","1.389,83","1.213,96","1.614,83","1.275,88","1.319,04","1.273,36","1.337,62","1.323,47","1.515,03","1.347,73","1.426,92","1.455,55","1.224,96","1.533,68","1.372,05","1.520,63","1.378,60","1.413,14","1.401,25","1.543,92","1.434,22","1.590,97","1.392,23","1.429,59","1.603,79","1.545,60","2.016,80","1.872,27","1.806,39","1.985,66","2.440,36","2.321,92","2.332,75","2.377,68","2.332,82","2.376,86","2.761,77","2.914,06","2.558,52","2.931,95","1.655,48"
31058 Unaí/Paracatu,"494,92","450,92","457,42","553,44","498,18","486,12","488,23","528,04","488,15","472,39","571,97","599,63","478,93","500,63","488,07","495,57","669,28","527,53","618,65","500,1","575,99","515,69","511,83","474,24","444,51","427,82","461,43","455,84","636,25","649,48","615,42","572,29","562,55","571,84","455,97","498,99","473,51","496,67","485,89","484,9","482,24","501,47","478,97","479,87",576,"551,27","556,09","545,32","482,93","566,13","526,15","663,57","544,48","606,74","569,93","494,94","549,78","567,06","516,05","479,81","476,27","570,4","605,02","529,45","551,05","522,94","594,75","490,61","528,96","584,51","575,27","620,14","644,5","603,24","569,83","629,05","532,4","634,58","637,04","501,38","595,77","485,67","553,57","497,44","665,95","648,8","610,19","630,82","589,4","642,22","583,5","579,12","544,55","524,04","532,12","553,62","589,37","534,62","577,7","494,57","576,26","542,99","565,11","539,34","618,44","533,7","573,83","642,08","655,93","584,49","662,77","619,01","594,64","618,53","626,32","717,75","665,42","658,01","594,72","623,08","643,97","605,47","729,02","687,86","693,63","715,72","817,32","787,05","791,3","639,51","758,36","812,24","722,29","926,1","1.132,17","1.250,30","1.241,34","804,82","1.001,70","1.031,73","1.396,95","860,69","1.108,16","759,69","833,18","853,48","732,12","1.300,27","820,16","873,22","774,72","923,37","901,22","768,82","806,11","792,19","778,93","774,4","801,19","826,28","748,46","832,93","912,26","885,74","905,61","889,4","963,54","787,12","851,08","968,7","858,88","864,8","812,29","802,86","828,89","921,18","886,99","834,35","852,93","863,83","924,71","898,29","853,52","941,15","989,16","836,9","1.032,86","1.055,96","902,36","981,13","1.024,16","920,85","702,09"
31059 Manhuaçu,"578,56","675,92",700,"654,88","641,82","725,49","712,48","680,82","730,75","686,43","733,33","663,23","678,13","726,57","681,53","654,81","660,88","790,37","731,24","732,14","746,78","726,61","693,74","741,23","730,71","729,12","691,14","667,98","703,89","757,58","714,08","714,43","716,92","705,24","761,16","732,31","753,06","776,01","710,55","734,72","741,53","758,89","744,55","743,75","735,98","774,68","711,27","802,4","835,34",872,"894,8","963,88","965,06","1.056,65","864,5","780,17","823,5","913,16","1.013,48","1.070,42","871,78","961,52","957,7","956,32","838,03","832,36","796,8","806,37","739,4","734,71","824,37","854,3","802,76","742,1","727,3","821,03","780,88","805,05","770,67","832,77","900,92","870,09","864,02","808,97","867,92","784,69","748,33","790,27","753,76","756,41","861,16","802,68","811,99","822,4","743,79","738,77","772,09","735,16","675,97","730,84","729,88","742,74","768,88","758,42","756,17","757,69","799,42","798,68","780,1","794,07","721,9","797,31","808,68","766,79","763,22","767,53","780,93","798,93","793,94","760,34","775,84","762,93","780,77","638,11","774,81","671,52","850,84","1.014,10","1.329,85","1.599,55","1.400,95","1.686,31","1.752,49","1.813,13","1.588,96","1.471,10","1.596,05","1.825,28","1.767,60","1.509,89","1.573,60","1.310,61","1.413,20","1.337,56","1.287,16","1.506,49","1.059,69","1.077,09","972,34","1.001,24","1.015,17","983,83","1.047,93","1.012,01","1.109,81","1.097,03","1.015,83","1.038,15","1.019,82","978,86","1.025,67","1.042,80","1.068,34","1.046,90","1.064,35","1.027,34","1.102,65","1.069,87","1.140,88","1.048,30","1.002,99","1.006,30","971,09","1.049,40","1.072,40","1.055,53","1.060,24","1.136,20","1.168,54","1.200,19","1.150,51","1.186,46","1.139,67","1.190,00","1.108,33","1.137,55","1.145,78","1.198,75","1.115,38","1.351,27","1.471,38","1.350,58","946,83"
31060 Ponte Nova,"960,96","864,43","864,47","855,89","879,24","901,11","918,46","872,70","881,26","921,83","829,47","879,66","902,06","848,41","881,38","852,42","928,30","939,57","975,69","885,68","957,12","945,97","906,52","838,14","1.057,30","950,55","920,76","1.190,38","1.024,90","1.038,46","1.049,82","1.079,50","1.015,61","945,24","1.009,46","1.008,94","1.106,60","1.100,07","1.129,03","1.092,37","1.168,16","1.116,41","1.222,47","1.059,31","1.155,44","1.114,68","1.125,00","1.237,40","1.231,93","1.195,27","1.409,14","1.217,16","1.219,75","1.263,27","1.231,27","1.365,63","1.437,69","1.424,90","1.392,78","1.396,33","1.301,15","1.446,34","1.297,92","1.367,83","1.294,13","1.502,39","1.294,12","1.603,03","1.427,98","1.442,75","1.395,22","1.383,23","1.389,79","1.211,09","1.343,33","1.256,83","1.369,36","1.456,28","1.552,51","1.332,63","1.440,10","1.519,31","1.450,69","1.352,69","1.461,74","1.517,99","1.410,32","1.586,56","1.347,19","1.393,95","1.560,51","1.428,96","1.499,27","1.562,16","1.631,57","1.491,18","1.378,55","1.299,08","1.483,59","1.453,71","1.771,38","1.408,66","1.481,94","1.513,12","1.605,39","1.580,30","1.483,39","1.442,97","1.541,40","1.432,01","1.477,71","1.493,58","1.484,75","1.489,88","1.485,74","1.539,50","1.547,32","1.561,68","1.349,34","1.609,84","1.505,86","1.445,89","1.607,55","1.497,62","1.613,80","1.539,33","1.585,71","1.510,52","1.894,49","1.968,61","1.673,83","1.668,48","1.917,07","2.110,87","2.022,39","3.226,81","3.227,35","3.140,80","3.285,86","2.290,14","2.552,18","1.759,48","2.000,68","1.919,43","1.659,46","2.274,01","2.065,12","1.786,43","1.949,61","2.050,64","1.999,57","1.855,20","1.925,61","2.114,70","2.223,95","2.273,48","3.008,62","2.174,84","2.096,32","1.902,39","1.975,83","1.770,52","2.063,12","2.355,98","1.964,93","2.124,44","2.437,56","2.242,79","2.028,11","1.923,80","1.913,82","2.128,28","1.921,13","2.130,61","2.008,82","2.022,73","2.937,11","3.060,99","2.510,20","2.190,46","2.508,49","2.003,97","2.146,53","1.900,88","2.400,61","1.870,07","2.164,06","2.731,83","2.789,24","2.633,11","2.859,36","2.875,37","1.618,61"
31061 Viçosa,"996,90","1.055,74","885,60","961,41","1.038,71","1.049,81","1.205,47","1.133,02","1.150,45","1.044,08","1.015,65","945,79","1.047,34","1.030,49","998,67","961,49","1.137,53","1.160,05","1.145,90","1.089,69","1.093,94","1.081,49","1.221,31","974,24","1.116,17","1.046,11","927,63","1.022,62","1.235,33","1.248,72","928,52","1.036,90","1.232,48","1.068,95","1.115,96","944,12","1.437,25","1.175,03","1.264,55","1.164,46","1.166,76","1.190,65","1.153,32","1.117,69","1.130,15","1.246,25","1.197,33","1.157,94","1.496,89","1.427,78","1.046,08","1.270,33","1.479,70","1.204,39","1.356,52","1.122,76","1.580,51","977,27","1.258,88","1.011,84","1.668,92","1.235,17","1.315,72","1.096,22","1.265,65","1.472,26","1.077,33","1.294,84","1.179,24","1.368,75","1.101,17","1.412,24","1.152,92","1.534,92","1.230,63","1.207,14","1.424,47","1.217,43","1.315,30","1.230,10","1.080,74","1.196,54","1.303,20","1.232,89","1.156,63","1.346,36","1.237,55","1.110,63","1.446,70","1.191,97","1.122,88","1.196,14","1.219,90","1.282,45","1.065,98","1.475,02","1.446,23","1.266,35","1.379,05","1.175,27","1.253,56","1.219,59","1.168,91","1.188,04","1.239,27","1.248,91","1.191,29","1.393,45","1.245,71","1.271,85","1.312,48","1.195,55","1.100,10","1.334,46","1.302,72","1.178,80","1.255,86","1.198,59","1.138,81","1.419,59","1.039,38","1.438,00","1.135,22","1.262,03","1.879,76","1.174,90","1.358,33","1.223,07","1.454,15","1.424,20","1.332,86","1.367,83","1.335,83","1.305,46","1.352,14","1.665,43","1.552,54","3.228,91","2.196,23","3.181,58","2.767,57","1.906,80","1.582,73","1.263,28","1.241,22","1.922,10","1.659,48","1.393,39","1.238,92","1.710,87","1.426,10","1.379,47","1.596,68","1.329,60","1.625,09","1.563,82","2.025,33","2.020,40","1.640,02","1.298,88","1.556,70","1.464,27","1.606,92","1.727,11","1.843,44","1.463,98","1.354,05","1.598,64","1.406,86","1.615,96","1.637,35","1.850,17","1.680,46","2.274,57","2.070,11","1.623,77","1.725,20","1.525,93","1.557,34","1.571,58","1.611,55","1.488,67","1.572,87","1.640,36","1.393,32","1.439,21","1.743,39","1.726,55","1.638,57","1.341,34","2.044,92","1.810,54","1.346,15"
31062 Águas Formosas,"442,59","415,62","431,53","407,21","424,69","429,56","431,39","444,81","449,38","437,67","440,71","432,93","419,85","448,25","456,73","451,88","429,77","474,8","458,39","444,41","448,93","456,82","452,44","458,73","451,22","454,59","444,59","456,33","466,32","457,73","445,66","454,3","445,96","422,07","459,71","489,81","454,09","417,26","391,35","440,43","438,86","471,13","494,95","486,66","532,65","507,82","479,19","435,14","473,76","517,4","486,73","495,28","489,73","510,46","515,86","478,21","506,9","480,9","470,94","462,67","504,62","494,72","482,69","503,99","482,27","490,58","488,26","487,37","482,12","480,89","467,84","466,88","468,88","485,29","465,62","476,55","490,12","504,91","502,06","502,79","485,76","474,5","487,58","498,93","465,56","479,94","488,76","478,52","520,71","464,67","499,88","500,97","514,44","511,01","482,07","458,49","477,34","497,81","476,84","488,82","513,49","498,3","497,33","504,06","493,31","497,07","455,62","497,87","503,2","505,08","484,45","465,74","474,58","494,06","505,09","509,68","492,93","495,04","494,63","448,95","458,9","479,75","506,59","480,25","480,36","513,85","618,3","619,09","480,3","512,07","453,44","473,03","734,22","591,2","557,38","806,92","684,06","604,17","593,73","523,04","458,52","479,98","426,1","382,14","458,2","531,89","459,53","474,81","452,46","467,35","484,57","510,4","522,94","486,56","488,37","509,52","461,06","464,49","465,48","439,61","476,36","495,43","528,32","459,42","488,83","505,06","525,64","464,38","525,64","529,82","480,69","443,36","476,87","500,75","587,17","470,53","469,49","486,34","470,9","484,37","529,38","540,64","605,6","472,82","566,32","640,9","573,58","689,68","620,49","824,57","588,63","515,62","491,18"
31064 Araçuaí,"464,79","488,07","492,18","488,05","510,24","480,96","500,21","511,63","516,69","519,97","533,06","489,62","515,2","487,12","503,78","499,61","518,37","493,34","515,99","509,92","508,61","501,51","499,43","495,88","502,79","503,24","513,77","509,04","543,93","527,96","508,65","520,93","506,57","503,05","513,53","497,65","516,23","518,92","507,17","526,13","541,03","501,13","590,18","513,68","541,58","549,32","567,07","691,95","682,68","786,03","663,26","621,6","668,52","563,36","502,74","485,16","506,79","709,72","721,42","730,12","607,66","566,09","637,73","643,21","606,82","524,55","505,15","514,71","478,83","521,86","525,82","495,51","581,76","529,1","475,16","460,46","500,97","503,21","487,76","499,75","505,44","492,63","518,83","437,9","498,95","468,26","512,45","581,34","501,19","529,33","483,16","530,91","527,14","506,09","494,75","489,78","485,05","476,13","501,97","522,49","497,48","556,21","501,8","547,99","524,76","505,44","521,97","514,64","461,91","457,17","509,78","495,86","549,18","482,44","494,41","541,37","514,31","482,37","509,28","563,83","492,32","503,58","518,98","528,9","488,64","494,97","564,1","679,32","660,01","531,25","464,91","496,4","483,95","446,7","775,85","1.664,62","1.859,69","1.478,01","1.203,93","1.009,89","582,3","708,13","714,52","512,64","650,02","902,66","569,26","516,97","510,28","525,59","495,88","573,62","491,21","547,21",563,"487,33","508,32","539,95","512,06","518,06","557,98","548,73","512,58","531,37","513,83","517,91","526,38","487,83","478,83","470,69","543,07","533,5",540,"568,1","507,67","566,88","540,86","543,91","556,3","556,38","532,64","524,94","551,44","518,19","518,77","523,88","522,74","745,82","528,39","504,75","671,98","612,41","559,47"
31065 Itaobim,"448,36","446,35","455,51","475,06","484,15","448,44","462,49","447,18","459,8","468,24","454,78","438,02","437,95","462,26","449,65","455,44","449,94","468,13","481,17","438,58","430,76","461,18","442,41","442,74","433,64","437,2","457,11",445,"433,94","402,64",431,"442,1","447,44","440,31","423,73","458,01","450,35","470,66","472,88","457,62","477,2","464,24","486,34","463,63","484,44","517,27","480,11","455,54","466,57","484,35","531,55","524,46","502,92","463,65",430,"457,7","539,42","497,11","517,63","456,8","429,91","461,63","503,04","484,34","522,31","540,17","442,15","432,74","443,59","470,94","474,38","459,62","472,85","482,13","470,48","464,05","461,74","467,12","473,22","452,32","425,83","485,37","461,74","459,54","465,37","461,48","466,01","454,64","495,65","440,71","436,44","473,69","474,53","490,38","444,13","451,17","466,43","483,6","481,81","448,6","472,31","496,75",443,"462,61","444,14","433,89","437,86","476,81","463,93","448,24","513,87","473,2","494,85","574,53","447,17","472,02","493,16","479,14","453,22","506,92","429,46","460,29","437,39","481,47","455,31","505,09","536,15","468,72","431,73","480,75","490,16","526,18","506,1","484,28","1.360,35","1.202,90","1.642,71","1.664,80","1.636,85","1.065,46","933,73","519,03","513,98","530,06","503,27","581,79","515,39","485,3","673,37","610,31","733,76","664,38","695,74","785,06","731,12","512,08","495,2","497,94","513,05","496,31","596,77","560,79","645,56","621,91","555,11","596,21","510,34","490,74","499,83","535,03","558,66","581,21","712,8","694,26","724,9","964,31","725,68","1.043,79","709,52","645,23","603,14","753,19","740,04","695,36","724,34","659,34","645,33","632,19","675,96","670,91","772,12","687,71","552,75"
31066 Nanuque,"446,65","470,35","473,8","501,55","463,22","446,64","466,8","500,9","474,65","503,31","483,39","484,05","484,81","482,54","498,98","477,02","493,8","500,65","475,99","475,81","461,96","469,46","449,73","470,33","490,69","446,6","491,19","473,06","504,09","465,81","507,81","512,66","491,68","536,72","497,54","514,61","475,3","492,35","494,62","449,48","499,19","499,42","523,91","495,57","522,04","480,08","496,29","483,58","506,66","472,04","533,5","514,63","507,62","479,4","480,95","495,61","501,42","517,24","486,18","505,88","487,06","507,66","497,21","517,13","504,23","499,22","509,51","485,4","519,65","507,92","485,24","461,38","452,35","468,48","448,07","523,56","469,17","490,95","464,43","474,82","464,57","460,14","448,71","456,51","476,57","457,75","497,67","451,12","469,99","481,91","464,72","478,57","449,92","471,82","466,1","499,35","484,7","489,25","490,58","515,89","507,72","495,58","508,79","477,32","485,06","460,45","448,28","477,26","479,75","480,78","447,7","499,45","495,52","523,15","504,44","534,24","557,84","511,72","477,29","481,51","503,57","485,27","498,99",479,"465,47","516,4","632,36","835,58","601,12","557,01","515,7","522,68","617,59","822,86","848,18","1.043,80","826,08","881,22","750,63","737,28","615,23","607,7","639,88","594,08","595,8","685,46","493,94","487,87","488,22","491,41","512,59","528,05","549,41","509,12","507,97","495,11","476,8","500,1","509,53","499,82","540,92","533,01","519,94","511,83","465,73","509,4","532,31","520,57","559,13","523,97","577,4","518,97","498,21","553,26","577,66","563,18","506,69","527,45","508,39","545,29","486,16","486,42","520,52","541,67","550,87","550,18","582,26","599,11","509,61","498,36","582,69","564,41","521,61"
31067 Padre Paraíso,"428,39","428,7","420,8","441,96","460,04","450,77","427,91","443,22","452,05","434,89","443,97","432,27","423,09","451,41","433,95","438,48","450,38","460,18","448,52","455,33","450,1","437,12","439,77","451,05","427,21","411,71","421,92","444,89","441,28","444,46","438,53","451,93","430,97","410,51","444,03","431,32","432,65","416,15","418,44","458,38","464,82","454,96","475,73","466,78","486,08","443,12","469,52","437,46","440,07","412,18","422,86","440,82","434,28","445,89","467,53","445,42","403,02","451,81","439,07","418,77","421,56","453,08","439,12","456,51","466,09","429,11","437,64","438,41","444,72","468,62","440,33","450,55","449,05","450,95","447,99","451,17","452,22","456,05","470,92","449,78","449,02","439,92","429,27","431,75","420,03","410,77","406,92","424,91","430,09","434,02","431,59","426,01","408,27","397,71","434,29","404,57","401,15","403,57","423,57","420,12","408,59","413,74","404,88","408,62","407,53","406,83","400,29","417,48","404,23","377,31","396,83","412,61","403,77","425,25","443,77","421,6","421,32","419,74","405,12","378,55","424,01","399,65","422,86","413,87","392,03","396,03","401,52","458,06","508,58","424,71","408,4","455,75","439,44","474,58","456,88","475,42","488,59","474,27","445,33","395,68","411,17","413,22","420,84","388,73","494,22","469,5","420,63","437,57","382,71","409,39","445,12","415,18","407,24","414,91","407,96","431,14","391,34","405,62","408,54","428,68","420,39","414,39","432,36","410,38","445,55","424,1","420,17","385,64","429,1","407,81","394,54","493,88","507,22","566,56","578,52","414,86","488,97","457,19","403,76","436,58","483,09","581,53","533,39","517,06","540,45","536,59","523,84","646,1","560,29","556,75","521,41","660,7","443,97"
31068 Pedra azul,"500,95","516,2","480,1","529,12","502,08","510,56","507,29","533,51","532,17","515,28","511,33","496,83","519,68","521,91","529,29","510,14","539,95","545,76","527,4","554,41","519,21","505,43","494,02","519,53","510,86","510,81","542,03","530,95","523,55","510,66","499,61","496,04","510,93","524,41","489,82","494,71","532,97","488,46","501,63","492,98","530,06","505,37","500,78","509,01",486,"492,51","501,63","520,14","467,64",487,"524,27","519,29","528,45","533,12","516,41","467,87","525,95","488,26","500,29","518,53","469,36","445,95","494,44","479,69","492,88","496,4","498,79","506,53","493,32","486,24","455,81","497,09","470,57","464,11","481,94","477,36","507,98","501,83","498,05","504,35","501,15","496,19","482,87","531,21","472,11","458,32","473,75","506,02","487,92","502,37","516,56","501,51","498,11","491,27","495,86","485,59","477,14","466,23","499,07","476,91","482,8","500,01","474,12","493,88","502,14","476,82","489,6","523,4","478,28","546,68","502,33","483,85","493,6","513,86","483,75","454,95","479,89","466,94","462,08","472,38","432,88","488,67","450,13","499,58","485,71","498,35","478,75","527,19","515,55","428,27","473,82","555,49","502,84","494,05","594,26","514,94","725,84","740,28","776,16","617,58","599,24","611,92","550,54","528,46","710,78","674,79","596,79","518,29","464,49","565,16","494,99","506,04","484,94","490,96","572,41","543,28","488,14","555,01","496,96","496,97","546,12","544,39","562,36","509,74","533,91","522,86","585,43","522,98","505,2","507,07","485,73","498,88","754,26","710,02","793,37","904,93","668,35","774,42","664,3","691,36","587,83","750,22","896,79","1.003,59","1.000,74","1.053,60","763,41","847,62","1.184,18","1.110,27","1.249,68","1.251,86","556,18"
31070 Araxá,"752,62","685,74","653,53","723,34","718,09","752,45","766,79","779,56","625,00","797,41","905,31","835,25","918,52","800,37","883,80","834,66","956,43","895,29","862,36","928,29","813,81","876,61","869,18","946,16","825,1","879,5","869,13","805,62","855,71","840,27","968,04","843,15","926,93","870,24","877,06","970,59","700,52","1.015,19","984,11","856,26","804,89","844,08","857,45","845,84","859,49","790,02","863,91","1.008,38","900,53","812,27","887,03","873,54","900,34","886,41","880,47","903,85","808,19","875,02","919,92","916,43","931,25","957,33","863,94","909,24","845,64","829,62","949,37","870,14","895,09","875,35","967,47","967,49","890,11","783,39","884,05","915,28","944,12","936,74","951,27","937,4",912,"883,27","993,64","907,41","906,82","943,12","912,19","859,62","922,42","987,05","947,07","1.027,22","909,05","1.002,20","1.036,65","1.041,50","983,11","922,68","1.080,17","1.021,32","989,25","1.083,37","1.077,60","976,11","1.034,77","1.041,47","993,84","966,55","926,19","997,03","1.125,61","1.014,84","1.045,22","1.074,56","1.141,87","1.141,23","1.103,86","1.038,12","1.078,35","945,85","939,38","1.011,20","860,32","1.111,69","933,64","1.081,95","1.040,42","1.268,97","1.157,42","1.024,74","1.115,18","937,75","1.007,13","1.178,26","1.075,91","1.685,99","1.818,96","1.706,28","2.116,77","1.835,10","1.865,24","1.208,58","1.179,85","1.659,12","1.561,89","1.447,64","1.179,63","1.107,62","1.048,31","1.213,19","1.160,37","1.377,20","1.173,08","1.439,00","1.159,50","1.270,91","1.081,55","1.250,29","1.040,24","1.181,91","1.022,01","1.224,27","1.067,81","1.195,16","1.211,42","1.081,64","1.237,09","1.050,14","1.181,41","1.076,14","1.094,35","1.092,28","1.157,54","1.088,56","1.180,93","1.438,67","1.017,56","1.117,68","1.223,80","1.222,26","1.158,09","1.214,44","1.081,47","1.210,18","1.162,51","1.213,48","1.073,26","1.348,83","1.209,19","1.143,98","1.423,92","1.281,72","1.017,96"
31071 Frutal/Iturama,"423,09","424,56","440,34","445,02","439,91","468,16","443,74","438,08","434,89","441,05","461,19","427,71","453,13","446,83","450,07","433,95","455,7","450,91","448,23","435,54","443,85","425,47","430,35","407,41","435,63","428,23","424,82","439,94","432,89","439,29","432,17","441,1","444,43","429,6","416,26","450,85","407,23","420,85","418,19","430,35","459,35","435,03","437,39","421,76","437,76","461,07","461,5","431,36","445,33","425,54","460,19","442,03","423,95","451,66","449,14","429,05","430,97","402,83","409,3","432,02","419,63","417,02","435,56","437,37","418,26","433,81","431,07","421,42","446,21","442,55","425,67","446,31","456,73","448,45","451,21",442,"472,61","485,45","482,2","485,4","455,81","466,17","465,95","445,36","443,91","498,91","462,52","462,53",446,"476,24","505,65","444,88","469,77","468,98","463,03","452,97","441,51","443,61","453,83","467,66","445,68","458,08","438,4","481,03","516,57","472,63","473,98","470,29","443,28","475,8","487,07","465,84","477,19","471,17","464,65","455,92","497,72","449,56","483,46","466,16","442,35","479,35","470,87","464,42","465,79",475,"538,06","603,74","538,33","529,84","554,69","535,14","578,87","547,85","674,21","553,48","906,38","754,69","731,88","813,52","718,36","660,95","633,76","571,47","589,18","557,57","545,37","536,56","574,35","529,68","519,98","591,14","590,85","604,25","552,83","542,81","597,28","476,53","552,49","538,55","573,79","573,52",568,"585,87","565,76","621,87","579,73","622,4","523,75","532,2","549,36","568,58","551,85","570,33","650,1","602,05","637,42","560,93","571,6","570,34","553,11","584,95","610,04","537,48","564,68","507,16","554,12","639,56","590,87","605,46","575,9","586,45","488,67"
